ID,ZNF552,KDM4B,CCNA2,LRIG1,PREX1,FUT8,C4orf34,TTC39A,ASPM,SLC43A3,MEX3A,SEMA3C,E2F1,STC2,FMNL2,LMO4,DTWD2,MED13L,NTN4,CSRP2,hsa-mir-17,hsa-mir-590,hsa-mir-505,hsa-mir-130b,hsa-mir-106b,hsa-mir-20a,hsa-mir-106a,hsa-mir-197,hsa-mir-1301,hsa-mir-186,hsa-mir-93,hsa-let-7d,hsa-mir-532,hsa-mir-146a,ER-alpha,GATA3,ASNS,Cyclin_B1,AR,Cyclin_E1,JNK2,PR,INPP4B
A0FJ,3.31065919497497,6.54955102473395,5.33261779247415,6.75487892884489,4.46994110678984,2.65745375025861,4.03844619781376,2.58103529598138,6.02805023704322,7.74641606706878,8.17510065411009,7.70912497377678,5.56542166954581,4.88506703682132,7.34182384054115,7.6796526652931,2.72293241653635,6.7746741659897,0.479435545504361,5.83836606250535,11.3726359744036,5.86101962325252,8.48224146767531,6.49489172445463,10.4968940773658,9.83908898318302,6.78439834164961,9.83004100720532,5.81773552552372,9.89221662014565,13.2727914860661,9.87119975015013,10.200255321235,8.0364616296624,-3.73572022911381,-1.93613246349555,0.811462882343898,1.5167354756507,-1.30760569265345,0.987850528150511,-0.567643653544996,-0.780103105021144,-0.325678433381674
A13E,2.45307093343235,5.86274930340222,5.833159817235,6.36002864871175,4.04786135048578,2.45510247266038,5.08094000095497,5.06232650380671,6.28640061520125,7.17793838183238,8.02820555305134,6.6571972172991,5.28647677515831,5.9213042042807,6.04232486132453,9.01930827898456,2.20415606175295,6.37830738528302,2.06148882495656,4.99522091950422,11.3659896069174,3.71962878199384,5.90875235692299,4.75500311209573,10.5526085466977,9.61367249804676,3.29432294726117,7.69186516539606,4.39385862081208,7.13945452012173,14.0863307660282,9.59949441253923,10.0093533915195,7.55807279820801,-1.81954702905523,-2.2799768076417,1.18101579078384,1.02577694638161,-1.62047595593564,0.249589731779117,-0.66812194607275,-0.384844153730188,-0.381474564810473
A0G0,3.7238428133591,5.95411679718247,5.59505362809548,6.21421064195073,4.43844990197167,5.32955343155727,5.56935314409378,4.36015228045477,7.28992763076083,7.38987390459378,7.9683274454542,3.97815515334493,5.22733370979957,4.08962526372861,6.65475801294582,6.80911764444121,3.18080824734346,6.77736009662427,4.98798202351442,4.50698969556134,10.8000018985011,6.09721005097301,6.6074047832922,6.86531415694812,10.5442682236519,8.91204009359276,7.50896496626256,8.26031839087335,4.66162517429008,9.56614875535469,13.5114788644824,10.4028711088191,10.2322274547886,7.45540168984715,-3.87364811905985,-1.58106744372252,1.95092236314865,0.977360144338694,-1.07789443575674,-0.329458662814068,-0.540844957153528,-1.16653684783948,-0.518444313638833
A0SX,3.47148000346499,6.4623457321308,5.41659901590264,6.18716054517684,6.21204293895111,4.97620521890532,4.69885311469107,6.16352815485744,6.5776610306153,7.34099783235318,7.11853817121016,6.89161858638509,4.60003027880111,5.41003457996865,6.79672303850853,7.82866919590343,2.92643307755415,7.32930561262012,5.51312577173463,4.83501859642486,10.8671537171978,5.18014943811838,5.62345078961595,5.59258982591119,10.5028557556485,9.19113529890527,6.78572221851482,9.43026037239626,3.89409837955962,9.05202144454849,12.8686136037849,9.72965019344787,9.45191473826765,8.53592831192136,-2.99811575996094,-1.57263487305529,0.607423830729248,0.569273219954605,-1.26705469443998,1.42550679324864,-0.173740051130144,-0.259153927997612,0.464042350173708
A143,3.94574173140497,5.67843370387631,5.31606915328399,7.97510389455679,5.1024793602502,6.37200015541993,5.18114636679459,4.19357167174611,6.52762992017378,6.45121873642536,8.0556852705761,3.29839268778402,5.00277930575311,5.02473128967089,5.3522181427716,8.5234628665493,3.18274561246939,5.57188785392736,2.49026023911082,6.02322272300155,12.1105769996455,5.14722332255279,5.37570794896492,6.08627120777997,10.4011492547917,10.8219007105545,8.09527431300129,9.17450246185321,5.01133989447102,8.26513566004835,13.9426312324565,8.96077526243202,10.7378543325695,6.35607914221599,-4.18978738718118,-1.84725239250692,0.538762876649935,1.36895667274087,-0.60132743682262,1.40663928189227,-0.103766891468318,-1.3477008171913,-0.90802219777138
A0DA,3.53211506023144,5.48820446783639,4.83697784339955,6.81945083700823,4.44875147979065,4.26436551036356,3.59043640746867,6.39840675718704,5.01668436279193,7.09842812484152,6.52092433390021,3.94853307138976,3.63832252072166,6.94223115732115,6.41643129568586,8.8695405248624,2.17502481335358,7.19633907256849,4.77452913140061,3.60936402751078,11.0711051809204,5.25808807385664,7.34769391078721,5.58313776038571,10.2075724401103,9.04105672353356,6.31176405363918,10.2744337755632,4.73680294507553,9.2407316422601,12.289919882092,10.3569942756237,10.4030591479667,7.36230360567156,-3.39972318816815,-1.63498011795502,0.31194945344956,0.0716814725971023,-1.20803848355276,-0.0421595291680608,-0.19391207710959,-1.14103749615049,-0.76710041279922
A0B3,4.10332058252889,5.17079018744538,5.80031496087591,6.15829102559493,4.83040762123343,4.87381059006379,3.87788841724694,4.93736958267951,5.84896357024165,6.99593319453631,6.5666091882325,5.30346843468964,4.88215881911137,5.41558880088659,6.1832574110898,7.80116655548469,1.58160391603086,7.02180067929776,5.35212259208227,5.47457517954589,9.44244338879648,4.35274900024756,5.98746453616581,4.85970898896744,9.43946722468607,7.98950080332233,5.6797303228612,8.97826559931935,4.07444783776045,8.73781668394693,11.5671533388658,9.86248928476122,9.06385743621736,7.79365458529708,-2.98947690425538,-1.44416100629023,1.13887594098513,1.23788942961467,-1.0162976329094,0.516007883037104,-0.370212749477673,-0.827203702543001,-0.949655085134814
A0I2,2.84035929910121,5.33154004653038,4.86464315011465,7.01025322046584,5.44983523104269,3.88624907033806,3.68095352644887,2.87018486469098,5.32155114701076,5.23025342278571,6.84743670420629,4.31002338591767,5.91392004575088,2.0072965990508,5.61433317538563,7.92951899079996,1.62288679298191,6.23450675007015,4.93277335873967,5.11463855623525,10.3657208677399,5.51681345623775,7.73494133104339,4.1525390706408,10.4453991229456,9.03362047989971,6.77287590146384,9.07267016548964,4.62031803199161,9.84528439699189,12.8007627713768,10.3237424904573,9.11069068176666,8.33096554064912,-2.31065014967524,-1.32880075275404,-0.632758755261157,-1.32406936177468,-0.42122691429642,0.384136639619375,0.304660321470578,-0.0919482872470097,-0.83780094503726
A0RT,3.43627784971342,5.53093839004995,5.78389927509963,6.09471301902014,7.4282800425255,5.37896507819019,4.87392633219656,5.15762775252369,5.54900344257638,6.71106131463779,6.68014651098576,5.7271598053338,4.44646572912355,4.77186574629234,5.91865330327003,6.84663602109322,2.44733057372345,7.10121793117673,5.57678501520658,4.6081255193283,10.0247123854568,6.09177965601027,6.80008149192434,6.1383222419473,10.1253831862398,8.51712742406681,5.88896277301059,8.08189137164583,5.01902331357496,10.0288358467587,11.9853381471226,9.56972587774283,10.3001672795202,9.71243015918039,-2.77630152647277,-1.20172573391223,0.145464752317548,0.245716911558498,-0.952324860351186,0.193681101243219,-0.244021846214468,-0.489673356651506,-0.677489594851021
A131,3.35587413110027,5.99830410216902,5.12398923607499,5.96884047878904,5.64774652085436,4.71166927447801,5.99830410216902,6.26703823628966,5.44207552271966,6.45502103836952,7.60541224475232,7.63370284892583,4.65381319572763,6.06227292975953,5.89216121723738,5.54171266856467,2.0890623958712,4.87447492279292,4.59224001635499,4.93414829477282,9.70504050134844,4.29319351534038,6.75172033931592,5.48397183213266,10.5810173263412,8.00278838873692,6.10480627140114,9.23125212904258,4.92706561654248,8.18541702949268,12.7308953724088,9.95622398461058,9.71760598920272,7.40675607416358,-3.41206057235655,-1.55392326037627,0.57302275977998,0.48328353607098,-0.180283541382307,-0.0550300134159322,-0.950488595768969,-0.875290815479727,-0.769164484836161
